location,mean_X,mean_Y,mean_Z,std_X,std_Y,std_Z,skew_X,skew_Y,skew_Z,label
1,0.16934492,0.48207892,-0.86671815,0.006461716,0.012114351,0.006528711,-0.299497489,-1.037348053,-0.049828382,11
1,0.19962726,0.36262499,-0.90891872,0.033229129,0.163571391,0.06381227,2.133377366,0.237092471,-1.727473785,11
1,0.21190648,0.25542024,-0.94811541,0.028178006,0.132260628,0.055581931,-0.445972092,0.32859087,0.065168455,11
1,0.22720626,0.36727663,-0.9092006,0.010856791,0.018977564,0.009021474,-0.300923689,0.236326578,0.001323355,11
1,0.22942004,0.36816239,-0.90875076,0.011462552,0.018771408,0.008381255,-0.102540337,0.260045534,-0.566647215,11
1,0.23217314,0.41254977,-0.88887694,0.014937929,0.02542584,0.014080859,-0.320014358,1.025208179,1.971239768,11
1,0.20586442,0.1929318,-0.88542925,0.071832102,0.38468547,0.126527669,0.526266592,-0.894048902,0.050924198,11
1,0.2435832,0.22271045,-0.92259702,0.037072576,0.254363364,0.086673667,0.60078279,0.76888879,0.171534902,11
1,0.27066802,-0.14069427,-0.96124707,0.009353137,0.040900399,0.017872779,-0.062904456,-1.847159977,0.563744496,11
1,0.18275899,0.28708207,-0.94535477,0.031453457,0.104818787,0.031428034,-1.654904575,-0.582521302,0.32360123,11
1,0.20177215,0.27812189,-0.87349841,0.059838102,0.355601649,0.091761304,0.430717646,-1.966701571,0.795238401,11
1,0.21231199,0.44423384,-0.84716219,0.027603896,0.257644116,0.054488181,-2.453721189,-3.575436463,1.497998789,11
1,0.21471452,0.46658429,-0.86935037,0.068202481,0.117868317,0.098400825,2.28925015,-1.576380427,-4.461857248,11
1,0.21319673,0.37002871,-0.90829026,0.031579429,0.129666325,0.056372377,-0.1686126,-1.100842031,-1.363651266,11
1,0.2131312,0.3871701,-0.9001942,0.013705009,0.110193444,0.040218265,0.972348506,-0.098484718,-0.470554647,11
1,0.21814654,0.36262923,-0.90757582,0.02317695,0.117895981,0.041055309,-1.064034196,-0.178692423,-0.001148651,11
1,0.21251377,0.26727632,-0.94789109,0.035621805,0.09431675,0.020400646,-1.90458679,-0.714919902,0.267920468,11
1,0.20724266,0.29607405,-0.93531598,0.035437358,0.12661804,0.042765409,2.787524474,0.196721605,0.545957587,11
1,0.22312391,0.12848985,-0.93866118,0.051745559,0.249530645,0.072824504,-4.273442397,0.611807012,0.433631482,11
1,0.23899459,0.08292341,-0.9526988,0.054572033,0.227990483,0.053792442,-3.198527545,0.886158164,0.40121045,11
1,0.21231337,0.10281407,-0.97382677,0.022211667,0.131466708,0.033025982,0.066486991,1.09545286,-0.152167329,11
1,0.21066131,0.30529124,-0.9306946,0.05463899,0.229854685,0.089427094,2.221073587,1.6366082,-0.092026577,11
1,0.21149356,0.16272685,-0.9630922,0.023284515,0.111720263,0.023670068,0.633692226,-0.49022117,1.103963229,11
1,0.21618773,0.09911453,-0.96674833,0.026416276,0.182855336,0.040390941,0.214680427,-2.027206942,2.27630816,11
1,0.20835313,0.29933943,-0.89930952,0.053522997,0.253723596,0.066047022,-3.074854266,-1.198675174,-0.168480419,11
1,0.21507871,0.20755113,-0.94160113,0.038594172,0.186879344,0.071041487,3.049054232,0.80785886,0.44123236,11
1,0.20984239,0.24343995,-0.93475294,0.067394031,0.209800881,0.069897511,0.870497691,-0.287660465,0.302951085,11
1,0.25853511,0.22459453,-0.91178898,0.083009598,0.212999347,0.09123879,0.197423889,0.675871345,0.716983364,11
1,0.15837419,0.4860376,-0.86680345,0.01316583,0.028101675,0.018722834,-0.278183993,-0.119271458,-0.222762869,11
1,0.16744995,0.48016103,-0.86800401,0.007120948,0.013188362,0.007236017,-0.345739456,-0.739551519,0.043491954,11
1,0.19678683,0.38573489,-0.90077417,0.033454451,0.158901073,0.062613081,2.322193997,-0.057485769,-2.137355028,11
